"","year","ngdp.Indonesia","ngdp.Malaysia","ngdp.Philippines","ngdp.Singapore","ngdp.Thailand","ngdp.Vietnam"
"1",2019,NA,NA,NA,NA,NA,NA
"2",2018,0.366185100122386,0.125993790844702,0.116270909295007,0.127952560390534,0.177437690478434,0.0861599488689374
"3",2017,0.380955707363658,0.119663338375343,0.11766050130427,0.12695972006516,0.170805397223646,0.0839553356679229
"4",2016,0.376709736094891,0.121781971482078,0.123254298427558,0.128578605265831,0.166692868063159,0.0829825206664838
"5",2015,0.365151794836212,0.127826785993375,0.124187096237403,0.130647282860179,0.170219228558155,0.0819678115146778
"6",2014,0.36782310904068,0.139587946533616,0.117506769373298,0.130004055806322,0.168193027308227,0.0768850919378581
"7",2013,0.379149010249724,0.134319970183758,0.112946488879343,0.127796370528277,0.174646303473666,0.071141856685232
"8",2012,0.393788467462771,0.134903742414999,0.107295577447298,0.126599579330012,0.170562070884226,0.0668505624606946
"9",2011,0.405752388899258,0.135385108838351,0.101847410915254,0.126933174999079,0.168494734330556,0.0615871820175022
"10",2010,0.396053119304727,0.133758316330548,0.104687008916267,0.125782003073654,0.178912392812121,0.0608071595626827
"11",2009,0.361636888431894,0.135556926928005,0.11282106778649,0.130124573657167,0.188807491555452,0.0710530516409922
"12",2008,0.340296926787134,0.153941301341508,0.116179425188857,0.129129491269206,0.194337911008187,0.0661149444051077
"13",2007,0.333391625980719,0.149293671739075,0.115209203129722,0.13957008788621,0.202821571084392,0.0597138401798832
"14",2006,0.335628282704468,0.149775636670526,0.112508749978781,0.136831024348514,0.204153701976415,0.0611026043212967
"15",2005,0.315099213691544,0.158210730341034,0.11361084222398,0.140876183960046,0.208676667076558,0.0635263627068383
"16",2004,0.318531123243197,0.15471528350794,0.113319337305454,0.142667935007113,0.214426336402044,0.056339984534252
"17",2003,0.326816531067123,0.153407921764534,0.116804963316828,0.135927979639675,0.211983271501313,0.0550593327105273
"18",2002,0.305831308243688,0.157628656376032,0.127167664563904,0.144643021425024,0.209921684251935,0.0548076651394165
"19",2001,0.280369385375093,0.162133207614723,0.133262431478429,0.15691014023246,0.210209824968496,0.0571150103307994
"20",2000,0.278058276358892,0.158034496565644,0.136528270674502,0.161884255870103,0.212969409188536,0.0525252913423227
"21",1999,0.257458517289996,0.145551703273878,0.152625721056298,0.158675045869692,0.232940576482753,0.0527484360273845
"22",1998,0.204628330017194,0.154721882027023,0.154806631022274,0.183795277500442,0.243712466707913,0.058335412725153
"23",1997,0.319511350071211,0.148101896501968,0.121946919963015,0.148277933646379,0.222407986592992,0.0397539132244352
"24",1996,0.31797210141519,0.141044318789253,0.115861523150631,0.134667935848384,0.25597112484128,0.0344829959552624
"25",1995,0.314463835067646,0.138001990562257,0.115311044921034,0.136610617656001,0.263352538737097,0.0322599730559638
"26",1994,0.320389604710464,0.134896275294328,0.116070699303135,0.133469926236767,0.265675270928176,0.0294982235271286
"27",1993,0.327852899646331,0.138802128327077,0.112809988046247,0.125747996782887,0.267437426393914,0.027349560803545
"28",1992,0.309527251142344,0.143047747267587,0.128079441850923,0.126033895339744,0.269456515390426,0.0238551490089768
"29",1991,0.319953296589902,0.134824584963303,0.124603410446458,0.124736754985916,0.269507603670681,0.0263743493437392
"30",1990,0.329184227367551,0.13653632770563,0.137427716175867,0.11209783340654,0.264682476485199,0.0200714188592129
"31",1989,0.331542617392044,0.136365919298932,0.149447056779172,0.106939270162405,0.253614429538016,0.0220907068294299
"32",1988,0.312315440907896,0.13067532659809,0.140358049099304,0.0939962407266567,0.22846475497096,0.0941901876970941
"33",1987,0.304424723930069,0.129026117647291,0.133092503194492,0.0838714408219308,0.202611806364796,0.146973408041421
"34",1986,0.354442355603741,0.12294938078763,0.132408570589449,0.0823964288960396,0.191051083747561,0.116752180375579
"35",1985,0.388782410185451,0.142222372063991,0.14009895904042,0.0873228673175727,0.177324366227753,0.0642490251648128
"36",1984,0.400720835995211,0.160297900842961,0.148326325472898,0.0932661803799091,0.197388757309021,NA
"37",1983,0.400380397822399,0.149906439607512,0.164060844999092,0.0878495903909754,0.197802727180022,NA
"38",1982,0.436017646248406,0.129629472096162,0.1796145229249,0.0777854756555141,0.176952883075018,NA
"39",1981,0.438126927715039,0.128103321787174,0.182623687525732,0.0726225181732281,0.178523544798827,NA
"40",1980,0.417355229542864,0.141002748932338,0.18685108443044,0.0684989634777011,0.186291973616657,NA
"41",1979,0.3757745268208,0.15508810673612,0.201061808680124,0.0679675815936474,0.200107976169309,NA
"42",1978,0.42161613929076,0.13403671487584,0.186048932501418,0.061593986607033,0.19670422672495,NA
"43",1977,0.436298989345357,0.125143892457647,0.187134943483758,0.0630375536456693,0.188384621067568,NA
"44",1976,0.420032908686874,0.124537739657567,0.192693902463402,0.0713077838488769,0.19142766534328,NA
"45",1975,0.40524970688078,0.123698601052451,0.198129114144136,0.0749427371286138,0.19797984079402,NA
"46",1974,0.379423993165455,0.13963960770452,0.202651427944323,0.076782582366386,0.201502388819316,NA
"47",1973,0.335158265802129,0.15782441932552,0.207663609144598,0.0761259257701903,0.223227779957562,NA
"48",1972,0.314597502295499,0.144267938402047,0.229348024534769,0.0778496477003427,0.233936887067343,NA
"49",1971,0.304768853678587,0.138590850049076,0.241904114337681,0.0739196021774874,0.240816579757169,NA
"50",1970,0.318737180167581,0.134597021953139,0.232929100724563,0.0668979855582965,0.24683871159642,NA
"51",1969,0.289841370994785,0.12739496211804,0.292302877301767,0.0577047620797288,0.232756027505678,NA
"52",1968,0.277452011476189,0.130577100890167,0.297649384205049,0.0558990386586609,0.238422464769934,NA
"53",1967,0.25142714588195,0.141464695573485,0.302059755570309,0.0549208205033753,0.250127582470881,NA
"54",1966,NA,0.197823011106519,0.400956206549449,0.0689985612052289,0.332222221138803,NA
"55",1965,NA,0.209606130470269,0.410114709808605,0.0691028564498447,0.311176303271281,NA
"56",1964,NA,0.21010393573671,0.414121195377654,0.0702450828018228,0.305529786083813,NA
"57",1963,NA,0.21194211849996,0.411645946711911,0.0774785802793319,0.298933354508797,NA
"58",1962,NA,0.189959188157213,0.417580111050565,0.0784174595407275,0.314043241251495,NA
"59",1961,NA,0.146777272787302,0.560058591311405,0.0590109176250837,0.23415321827621,NA
"60",1960,NA,0.158809219183859,0.553985955007693,0.0584069228549707,0.228797902953477,NA
